title,year,country,date
A Single Man,2009,Taiwan,2010-03-05
A Single Man,2009,Hong Kong,2010-03-11
A Single Man,2009,Singapore,2010-04-01
A Single Man,2009,Germany,2010-04-08
A Single Man,2009,Austria,2010-04-16
A Single Man,2009,Turkey,2010-04-16
A Single Man,2009,Argentina,2010-04-22
A Single Man,2009,New Zealand,2010-05-06
A Single Man,2009,Poland,2010-05-14
A Single Man,2009,South Korea,2010-05-27
A Single Man,2009,Czech Republic,2010-07-15
A Single Man,2009,Chile,2010-08-05
A Single Man,2009,Estonia,2010-09-03
A Single Man,2009,Uruguay,2010-09-17
A Single Man,2009,Japan,2010-10-02
A Single Man,2009,Peru,2010-10-21
A Single Man,2009,Colombia,2010-10-29
A Single Man,2009,Venezuela,2011-01-01
A Single Man,2009,Latvia,2011-01-03
A Sister of Six,1916,USA,1916-10-29
A Sister to Assist 'Er,1938,UK,1938-08-29
A Sister to Carmen,1913,USA,1913-07-15
A Six Shootin' Romance,1926,USA,1926-03-07
A Six Shootin' Romance,1926,UK,1926-07-02
A Sketch Killer: Who's Next,1997,India,1997-01-01
A Slave of Fashion,1925,USA,1925-08-23
A Slave of Fashion,1925,UK,1926-01-04
A Slave of Fashion,1925,Finland,1926-09-27
A Slave of Fashion,1925,Portugal,1928-01-25
A Slave of Vanity,1920,USA,1920-11-28
A Sleeping Memory,1917,USA,1917-10-15
A Slight Case of Larceny,1953,USA,1953-06-05
A Slight Case of Larceny,1953,Australia,1953-07-24
A Slight Case of Murder,1938,USA,1938-03-05
A Slight Case of Murder,1938,France,1938-03-23
A Slight Case of Murder,1938,UK,1938-09-19
A Slight Case of Murder,1938,Denmark,1938-10-13
A Slight Case of Murder,1938,Finland,1938-10-23
A Slight Case of Murder,1938,Portugal,1942-08-10
A Small Circle of Friends,1980,Australia,1980-10-09
A Small Circle of Friends,1980,Portugal,1980-12-04
A Small Circle of Friends,1980,France,1981-03-25
A Small Circle of Friends,1980,Spain,1982-05-25
A Small Town Idol,1921,USA,1921-02-13
A Small Town Idol,1921,France,1924-06-27
A Small Town Idol,1921,Portugal,1926-02-12
A Small Town in Texas,1976,Sweden,1976-11-24
A Small Town in Texas,1976,France,1977-03-30
A Small Town in Texas,1976,Finland,1977-04-29
A Small Town in Texas,1976,West Germany,1977-05-06
A Small Town in Texas,1976,Netherlands,1977-05-26
A Small Town in Texas,1976,Norway,1977-07-14
A Small Town in Texas,1976,Denmark,1977-11-02
A Small Town in Texas,1976,Colombia,1978-08-17
A Small Town in Texas,1976,Turkey,1978-09-25
"A Smell of Honey, a Swallow of Brine",1966,USA,1966-06-10
A Smile Like Yours,1997,USA,1997-08-22
A Smile Like Yours,1997,Singapore,1997-08-28
A Smile Like Yours,1997,Netherlands,1997-09-25
A Smile Like Yours,1997,Brazil,1997-11-21
A Smile Like Yours,1997,France,1998-07-22
A Smile Like Yours,1997,Iceland,1998-11-20
A Smile Like Yours,1997,Turkey,1998-12-25
A Snake's Tail,2006,USA,2006-04-18
A Snow Capped Christmas,2016,Canada,2016-12-15
A Social Celebrity,1926,USA,1926-03-29
A Social Celebrity,1926,Finland,1927-01-03
A Social Celebrity,1926,Portugal,1928-06-04
A Society Exile,1919,USA,1919-08-17
A Society Exile,1919,Sweden,1920-08-30
A Society Scandal,1924,USA,1924-03-09
A Society Scandal,1924,UK,1924-12-08
A Society Scandal,1924,Denmark,1925-03-09
A Society Scandal,1924,Finland,1925-10-05
A Soldier's Daughter Never Cries,1998,USA,1998-09-18
A Soldier's Daughter Never Cries,1998,Denmark,1998-12-25
A Soldier's Daughter Never Cries,1998,Australia,1999-01-28
A Soldier's Daughter Never Cries,1998,Spain,1999-02-19
A Soldier's Daughter Never Cries,1998,Finland,1999-02-26
A Soldier's Daughter Never Cries,1998,Germany,1999-03-04
A Soldier's Daughter Never Cries,1998,Italy,1999-03-05
A Soldier's Daughter Never Cries,1998,Norway,1999-03-26
A Soldier's Daughter Never Cries,1998,Iceland,1999-03-31
A Soldier's Daughter Never Cries,1998,France,1999-04-21
A Soldier's Daughter Never Cries,1998,Belgium,1999-06-30
A Soldier's Daughter Never Cries,1998,Portugal,1999-07-23
A Soldier's Daughter Never Cries,1998,Argentina,1999-07-29
A Soldier's Daughter Never Cries,1998,Greece,1999-12-17
A Soldier's Daughter Never Cries,1998,Peru,2000-05-18
A Soldier's Daughter Never Cries,1998,Japan,2000-12-09
A Soldier's Oath,1915,USA,1915-12-19
A Soldier's Plaything,1930,USA,1930-11-01
A Soldier's Story,1984,USA,1984-11-02
A Soldier's Story,1984,Netherlands,1985-02-28
A Soldier's Story,1984,Finland,1985-03-01
A Soldier's Story,1984,Portugal,1985-03-01
A Soldier's Story,1984,Sweden,1985-03-01
A Soldier's Story,1984,France,1985-03-06
A Soldier's Story,1984,Australia,1985-03-07
A Soldier's Story,1984,Spain,1985-03-15
A Soldier's Story,1984,UK,1985-03-15
A Soldier's Story,1984,Denmark,1985-03-22
A Soldier's Story,1984,Colombia,1985-03-28
A Soldier's Story,1984,West Germany,1985-04-12
A Soldier's Story,1984,Argentina,1985-05-23
A Soldier's Story,1984,Japan,1985-06-08
A Soldier's Sweetheart,1998,Belgium,2010-07-29
A Soldier's Tale,1989,USA,1989-07-07
A Solid Place to Stand,2010,Australia,2010-05-06
A Sombra dos Abutres,1998,Portugal,1999-04-23
A Son Comes Home,1936,USA,1936-07-31
A Son Comes Home,1936,Finland,1937-03-20
A Son Comes Home,1936,Sweden,1937-04-14
A Son of David,1920,USA,1920-05-05
A Son of Erin,1916,USA,1916-11-09
A Son of His Father,1925,USA,1925-09-28
A Son of His Father,1925,Finland,1927-06-06
A Son of His Father,1925,Denmark,1927-10-03
A Son of Satan,1924,USA,1924-09-18
A Son of the Hills,1917,USA,1917-06-25
A Son of the Immortals,1916,USA,1916-05-22
A Son of the Plains,1931,USA,1931-07-05
A Son of the Plains,1931,UK,1932-07-18
A Son of the Sahara,1924,USA,1924-04-13
A Son of the Sahara,1924,Finland,1924-12-29
A Son of the Sahara,1924,Netherlands,1926-09-10
A Song Is Born,1948,USA,1948-10-19
A Song Is Born,1948,Sweden,1948-12-17
A Song Is Born,1948,UK,1949-10-17
A Song Is Born,1948,Australia,1949-11-03
A Song Is Born,1948,Portugal,1950-04-13
A Song Is Born,1948,Denmark,1950-06-19
A Song Is Born,1948,France,1950-11-24
A Song Is Born,1948,Finland,1951-11-30
A Song Is Born,1948,Japan,1951-12-21
A Song for Autumn,2014,China,2014-03-28
A Song for Miss Julie,1945,USA,1945-02-19
A Song for Tomorrow,1948,UK,1948-06-07
A Song of Good,2008,New Zealand,2008-01-29
A Song of Kentucky,1929,USA,1929-11-10
A Song of Kentucky,1929,Ireland,1930-05-16
A Song of Kentucky,1929,France,1930-08-07
A Song of Kentucky,1929,Sweden,1930-09-13
A Song of Sixpence,1917,USA,1917-05-24
A Song to Remember,1945,USA,1945-01-18
A Song to Remember,1945,UK,1945-04-02
A Song to Remember,1945,Mexico,1945-06-28
A Song to Remember,1945,Argentina,1945-08-09
A Song to Remember,1945,Sweden,1945-10-08
A Song to Remember,1945,Finland,1946-11-15
A Song to Remember,1945,Portugal,1946-12-21
A Song to Remember,1945,Denmark,1947-03-24
A Song to Remember,1945,France,1947-06-27
A Song to Remember,1945,Spain,1948-12-20
A Song to Remember,1945,Austria,1949-04-06
A Song to Remember,1945,Japan,1949-07-12
A Song to Remember,1945,West Germany,1949-12-29
A Soul Enslaved,1916,USA,1916-01-24
A Soul Without Windows,1918,USA,1918-09-30
A Soul for Sale,1915,USA,1916-05-14
A Soul for Sale,1918,USA,1918-05-19
A Soul in Trust,1918,USA,1918-02-24
A Sound of Thunder,2005,Spain,2005-08-26
A Sound of Thunder,2005,Netherlands,2005-09-01
A Sound of Thunder,2005,Turkey,2005-09-02
A Sound of Thunder,2005,USA,2005-09-02
A Sound of Thunder,2005,Philippines,2005-09-14
A Sound of Thunder,2005,Singapore,2005-09-15
A Sound of Thunder,2005,Belgium,2005-10-12
A Sound of Thunder,2005,Portugal,2005-11-03
A Sound of Thunder,2005,Czech Republic,2005-11-24
A Sound of Thunder,2005,Iceland,2005-11-25
A Sound of Thunder,2005,Romania,2005-11-25
A Sound of Thunder,2005,South Africa,2005-12-23
A Sound of Thunder,2005,Japan,2006-03-25
A Sound of Thunder,2005,Israel,2006-07-27
A Sound of Thunder,2005,Mexico,2006-10-06
A Sound of Thunder,2005,Egypt,2007-04-25
A Sound of Thunder,2005,Panama,2007-08-10
A Sound of Thunder,2005,Kuwait,2007-09-06
A Sound of Thunder,2005,South Korea,2011-07-28
A Southern Maid,1935,Hungary,1935-06-08
A Southern Yankee,1948,USA,1948-08-05
A Southern Yankee,1948,Sweden,1949-03-31
A Southern Yankee,1948,Finland,1950-01-06
A Southern Yankee,1948,Denmark,1950-09-11
A Southern Yankee,1948,Portugal,1952-06-26
A Southern Yankee,1948,West Germany,1954-08-06
A Space in the Time,2013,USA,2013-01-10
A Space in the Time 2,2014,USA,2014-10-07
A Spanking in Paradise,2010,USA,2011-08-10
A Spanking in Paradise,2010,UK,2011-08-29
A Splendid Hazard,1920,USA,1920-09-26
A Split Personality,2013,USA,2012-12-24
A Sporting Chance,1919,USA,1919-06-19
A Sporting Chance (II),1919,USA,1919-07-13
A Sporting Chance,1945,USA,1945-06-04
A Square Deal,1917,USA,1917-02-19
A Stage Romance,1922,USA,1922-03-05
A Stage Romance,1922,Portugal,1927-03-04
A Stand Up Guy,2016,USA,2016-02-09
A Star,2016,USA,2016-01-29
A Star Is Born,1937,USA,1937-04-27
A Star Is Born,1937,Brazil,1937-07-10
A Star Is Born,1937,Argentina,1937-08-13
A Star Is Born,1937,France,1937-09-03
A Star Is Born,1937,Mexico,1937-09-03
A Star Is Born,1937,Sweden,1937-10-18
A Star Is Born,1937,Finland,1937-10-24
A Star Is Born,1937,Denmark,1937-11-08
A Star Is Born,1937,Hungary,1937-12-02
A Star Is Born,1937,Portugal,1938-02-01
A Star Is Born,1954,USA,1954-10-16
A Star Is Born,1954,Netherlands,1954-12-21
A Star Is Born,1954,Brazil,1954-12-25
A Star Is Born,1954,Belgium,1955-01-26
A Star Is Born,1954,Italy,1955-02-25
A Star Is Born,1954,Sweden,1955-04-04
A Star Is Born,1954,Portugal,1955-04-13
A Star Is Born,1954,Japan,1955-05-15
A Star Is Born,1954,Mexico,1955-06-09
A Star Is Born,1954,Hong Kong,1955-07-28
A Star Is Born,1954,Argentina,1955-08-30
A Star Is Born,1954,Australia,1955-09-15
A Star Is Born,1954,Denmark,1955-10-21
A Star Is Born,1954,Finland,1955-11-04
A Star Is Born,1976,USA,1976-12-17
A Star Is Born,1976,Brazil,1977-01-15
A Star Is Born,1976,New Zealand,1977-02-03
A Star Is Born,1976,Japan,1977-03-12
A Star Is Born,1976,Finland,1977-04-01
A Star Is Born,1976,Ireland,1977-04-08
A Star Is Born,1976,Sweden,1977-08-12
A Star Is Born,1976,France,1977-08-31
A Star Is Born,1976,Argentina,1977-09-08
A Star Is Born,1976,Uruguay,1977-09-16
A Star Is Born,1976,Spain,1977-10-03
A Star Is Born,1976,Colombia,1977-10-06
A Star Is Born,1976,Denmark,1977-11-04
A Star Is Born,1976,Mexico,1978-02-02
A Star Is Born,1976,West Germany,1978-02-17
A Star Is Born,2018,Brazil,2018-09-27
A Star Is Born,2018,USA,2018-09-28
A Star Is Stillborn,2014,USA,2014-12-05
A Star for Two,1991,South Korea,1993-03-13
A Step Outside Your Mind,2016,France,2016-10-27
A Step Toward Tomorrow,1996,USA,1996-11-10
A Step Toward Tomorrow,1996,UK,1999-10-27
A Stitch in Time,1919,USA,1919-05-05
A Stitch in Time,1963,Ireland,1963-12-20
A Stitch in Time,1963,Portugal,1964-02-06
A Stitch in Time,1963,Sweden,1964-02-10
A Stitch in Time,1963,Denmark,1964-05-04
A Stitch in Time,1963,Finland,1964-12-11
A Stitch in Time,1963,Hungary,1965-01-21
A Stitch in Time,1963,Colombia,1965-12-25
A Stitch in Time,1963,France,1966-06-29
A Stolen Life,1946,USA,1946-07-06
A Stolen Life,1946,Sweden,1946-11-04
A Stolen Life,1946,Argentina,1946-11-28
A Stolen Life,1946,Finland,1947-02-14
A Stolen Life,1946,Denmark,1947-08-10
A Stolen Life,1946,Portugal,1948-06-03
A Stolen Life,1946,Japan,1949-03-15
A Stolen Life,1946,Italy,1952-05-03
A Stormy Knight,1917,USA,1917-09-10
A Stormy Knight,1917,Portugal,1920-03-03
A Story Behind Mountain,2012,China,2012-07-06
A Story of David,1961,USA,1962-11-18
A Story of David,1961,Mexico,1963-06-20
A Story of a Call Girl,2000,India,2000-01-01
A Strange Adventure,1932,USA,1932-11-20
A Strange Adventure,1956,USA,1956-08-24
A Strange Adventure,1956,Japan,1958-02-11
A Strange Adventure,1956,Sweden,1958-02-17
A Strange Adventure,1956,Mexico,1963-02-07
A Strange Course of Events,2013,France,2013-12-04
A Strange Course of Events,2013,USA,2016-02-26
A Strange Love Affair,1985,Netherlands,1985-09-26
A Strange Love Affair,1985,France,1986-03-26
A Strange Love Story,2011,India,2011-05-20
A Strange Transgressor,1917,USA,1917-07-08
A Stranger Among Us,1992,USA,1992-07-17
A Stranger Among Us,1992,Argentina,1992-10-15
A Stranger Among Us,1992,Italy,1992-11-13
A Stranger Among Us,1992,Australia,1992-11-19
A Stranger Among Us,1992,Spain,1992-12-23
A Stranger Among Us,1992,France,1993-01-06
A Stranger Among Us,1992,Japan,1993-01-23
A Stranger Among Us,1992,Sweden,1993-03-19
A Stranger Among Us,1992,Portugal,1993-04-16
A Stranger Among Us,1992,Denmark,1993-05-07
A Stranger Among Us,1992,UK,1993-06-11
A Stranger Among Us,1992,Hungary,1993-08-13
A Stranger Among Us,1992,Uruguay,1994-03-29
A Stranger Is Watching,1982,Netherlands,1982-09-09
A Stranger Is Watching,1982,Denmark,1982-10-15
A Stranger Is Watching,1982,Australia,1982-10-28
A Stranger Is Watching,1982,Colombia,1983-03-03
A Stranger Is Watching,1982,Finland,1983-04-22
A Stranger from Somewhere,1916,USA,1916-11-13
A Stranger in My Arms,1959,USA,1959-03-03
A Stranger in My Arms,1959,West Germany,1959-03-12
A Stranger in My Arms,1959,Finland,1959-08-07
A Stranger in My Arms,1959,Sweden,1959-09-07
A Stranger in My Arms,1959,France,1959-10-28
A Stranger in Paradise,2013,USA,2013-05-01
A Stranger in Paradise,2013,South Korea,2013-10-09
A Stranger in Paradise,2013,Kuwait,2014-01-02
A Stranger in Paradise,2013,Japan,2016-01-05
A Stranger in Town,1943,Mexico,1943-10-21
A Streak of Luck,1925,USA,1925-12-23
A Street Cat Named Bob,2016,Jordan,2016-11-03
A Street Cat Named Bob,2016,Kuwait,2016-11-03
A Street Cat Named Bob,2016,Lebanon,2016-11-03
A Street Cat Named Bob,2016,Oman,2016-11-03
A Street Cat Named Bob,2016,United Arab Emirates,2016-11-03
A Street Cat Named Bob,2016,Ireland,2016-11-04
A Street Cat Named Bob,2016,UK,2016-11-04
A Street Cat Named Bob,2016,Italy,2016-11-09
A Street Cat Named Bob,2016,Egypt,2016-11-16
A Street Cat Named Bob,2016,USA,2016-11-18
A Street Cat Named Bob,2016,Singapore,2016-12-01
A Street Cat Named Bob,2016,Portugal,2016-12-12
A Street Cat Named Bob,2016,Taiwan,2016-12-16
A Street Cat Named Bob,2016,Belgium,2016-12-21
A Street Cat Named Bob,2016,Netherlands,2016-12-22
A Street Cat Named Bob,2016,Thailand,2016-12-22
A Street Cat Named Bob,2016,Brazil,2016-12-29
A Street Cat Named Bob,2016,Cambodia,2016-12-29
A Street Cat Named Bob,2016,Hong Kong,2017-01-05
A Street Cat Named Bob,2016,Denmark,2017-01-12
A Street Cat Named Bob,2016,Germany,2017-01-12
A Street Cat Named Bob,2016,Austria,2017-01-13
A Street Cat Named Bob,2016,Bulgaria,2017-01-13
A Street Cat Named Bob,2016,Latvia,2017-01-13
A Street Cat Named Bob,2016,Norway,2017-01-13
A Street Cat Named Bob,2016,Poland,2017-01-13
A Street Cat Named Bob,2016,Romania,2017-01-13
A Street Cat Named Bob,2016,Albania,2017-01-19
A Street Cat Named Bob,2016,Bosnia and Herzegovina,2017-01-19
A Street Cat Named Bob,2016,Croatia,2017-01-19
A Street Cat Named Bob,2016,Hungary,2017-01-19
A Street Cat Named Bob,2016,Israel,2017-01-19
A Street Cat Named Bob,2016,Serbia,2017-01-19
A Street Cat Named Bob,2016,Slovakia,2017-01-19
A Street Cat Named Bob,2016,Slovenia,2017-01-19
A Street Cat Named Bob,2016,Iceland,2017-01-20
A Street Cat Named Bob,2016,Turkey,2017-01-20
A Street Cat Named Bob,2016,Cyprus,2017-01-26
A Street Cat Named Bob,2016,Greece,2017-01-26
A Street Cat Named Bob,2016,Australia,2017-02-09
A Street Cat Named Bob,2016,Czech Republic,2017-02-23
A Street Cat Named Bob,2016,Finland,2017-02-24
A Street Cat Named Bob,2016,Kazakhstan,2017-03-02
A Street Cat Named Bob,2016,New Zealand,2017-03-02
A Street Cat Named Bob,2016,Russia,2017-03-02
A Street Cat Named Bob,2016,Ukraine,2017-03-02
A Streetcar Named Desire,1951,West Germany,1951-12-01
A Streetcar Named Desire,1951,Brazil,1951-12-17
A Streetcar Named Desire,1951,Finland,1952-01-25
A Streetcar Named Desire,1951,Norway,1952-02-07
A Streetcar Named Desire,1951,Sweden,1952-02-13
A Streetcar Named Desire,1951,Argentina,1952-03-20
A Streetcar Named Desire,1951,France,1952-03-28
A Streetcar Named Desire,1951,Hong Kong,1952-04-03
A Streetcar Named Desire,1951,Belgium,1952-04-24
A Streetcar Named Desire,1951,Netherlands,1952-04-24
A Streetcar Named Desire,1951,Japan,1952-05-22
A Streetcar Named Desire,1951,Austria,1952-06-19
A Streetcar Named Desire,1951,Australia,1952-07-04
A Streetcar Named Desire,1951,Denmark,1952-09-18
A Streetcar Named Desire,1951,Greece,1952-09-18
A Streetcar Named Desire,1951,Portugal,1952-11-14
A Streetcar Named Desire,1951,Italy,1954-04-30
A Streetcar Named Desire,1951,Turkey,1955-12-28
A Study in Scarlet,1914,Denmark,1915-10-07
A Study in Scarlet,1933,USA,1933-05-14
A Study in Scarlet,1933,Denmark,1935-04-24
A Study in Socks,1942,USA,1942-05-21
A Study in Terror,1965,West Germany,1966-01-14
A Study in Terror,1965,Sweden,1966-03-12
A Study in Terror,1965,Finland,1966-05-13
A Study in Terror,1965,USA,1966-08-10
A Study in Terror,1965,Denmark,1966-11-14
A Study in Terror,1965,Mexico,1968-08-02
A Sublime Love Story: Barsaat,2005,Kuwait,2005-08-17
A Sublime Love Story: Barsaat,2005,Australia,2005-08-19
A Sublime Love Story: Barsaat,2005,Fiji,2005-08-19
A Sublime Love Story: Barsaat,2005,India,2005-08-19
A Sublime Love Story: Barsaat,2005,New Zealand,2005-08-19
A Sublime Love Story: Barsaat,2005,South Africa,2005-08-19
A Sublime Love Story: Barsaat,2005,UK,2005-08-19
A Sublime Love Story: Barsaat,2005,USA,2005-08-19
A Successful Adventure,1918,USA,1918-07-15
A Successful Calamity,1932,USA,1932-09-17
A Successful Calamity,1932,France,1933-03-17
A Successful Failure,1934,USA,1934-10-15
A Successful Failure,1934,UK,1935-06-17
A Summer Place,1959,USA,1959-11-18
A Summer Place,1959,Brazil,1959-12-03
A Summer Place,1959,Italy,1960-02-11
A Summer Place,1959,Finland,1960-02-19
A Summer Place,1959,Denmark,1960-03-29
A Summer Place,1959,Sweden,1960-04-11
A Summer Place,1959,Japan,1960-04-23
A Summer Place,1959,Netherlands,1960-05-27
A Summer Place,1959,France,1960-06-08
A Summer Place,1959,Mexico,1960-06-16
A Summer Place,1959,Hong Kong,1960-08-11
A Summer Place,1959,West Germany,1960-09-16
A Summer Song,2016,Japan,2016-09-17
A Summer Story,1988,South Korea,1988-07-23
A Summer Story,1988,Australia,1989-02-16
A Summer Story,1988,Japan,1989-07-01
A Summer Story,1988,Portugal,1989-07-21
A Summer Story,1988,Hungary,1990-01-25
A Suprema Felicidade,2010,Brazil,2010-10-29
A Sweet Sickness,1968,USA,1968-11-15
A Sweeter Song,1976,USA,1976-01-12
A Sweeter Song,1976,Canada,1977-03-11
A Swingin' Summer,1965,Mexico,1966-09-22
A System Devoured,1999,USA,2008-09-15
A Table for One,1999,Singapore,1999-08-19
A Tailor Made Man,1931,USA,1931-03-28
A Tailor Made Man,1931,Ireland,1931-09-11
A Tailor-Made Man,1922,Finland,1925-04-20
A Tailor-Made Man,1922,Portugal,1925-06-04
A Tale of Five Cities,1951,USA,1952-01-15
A Tale of Five Cities,1951,Finland,1952-08-15
A Tale of Five Cities,1951,France,1952-09-26
A Tale of Five Cities,1951,Austria,1954-05-28
A Tale of Love and Darkness,2015,Israel,2015-09-03
A Tale of Love and Darkness,2015,Finland,2015-12-11
A Tale of Love and Darkness,2015,Portugal,2016-03-17
A Tale of Love and Darkness,2015,Poland,2016-04-01
A Tale of Love and Darkness,2015,Brazil,2016-05-05
A Tale of Love and Darkness,2015,USA,2016-08-19
A Tale of Love and Darkness,2015,Taiwan,2016-09-23
A Tale of Love and Darkness,2015,Singapore,2016-10-13
A Tale of Love and Darkness,2015,Germany,2016-11-03
A Tale of Love and Darkness,2015,Hong Kong,2016-12-03
A Tale of Punjab,2015,India,2015-10-16
A Tale of Two Cities,1917,USA,1917-03-11
A Tale of Two Cities,1917,France,1920-01-03
A Tale of Two Cities,1935,USA,1935-12-25
A Tale of Two Cities,1935,Brazil,1936-01-17
A Tale of Two Cities,1935,Spain,1936-06-15
A Tale of Two Cities,1935,Finland,1936-09-06
A Tale of Two Cities,1935,Hungary,1936-09-08
A Tale of Two Cities,1935,Denmark,1936-09-25
A Tale of Two Cities,1935,Argentina,1936-10-07
A Tale of Two Cities,1935,France,1936-11-27
A Tale of Two Cities,1935,Portugal,1940-04-09
A Tale of Two Cities,1935,West Germany,1952-02-22
A Tale of Two Cities,1958,Denmark,1958-02-28
A Tale of Two Cities,1958,USA,1958-08-04
A Tale of Two Cities,1958,Finland,1958-12-25
A Tale of Two Cities,1958,Sweden,1960-01-29
A Tale of Two Cities,1958,Mexico,1960-12-22
A Tale of Two Critters,1977,USA,1977-06-22
A Tale of Two Worlds,1921,USA,1921-03-13
A Tale of a Wolf,2013,Israel,2013-07-18
A Tale of the Australian Bush,1911,Australia,1911-10-03
A Talent for Trouble,2015,USA,2016-12-01
A Taste in the Afternoon,2009,USA,2009-12-11
A Taste of Blood,1967,USA,1967-08-09
A Taste of Flesh,1967,USA,1967-07-19
A Taste of Hell,1973,France,1974-11-20
A Taste of Honey,1961,USA,1962-04-30
A Taste of Honey,1961,Finland,1962-06-01
A Taste of Honey,1961,West Germany,1962-07-06
A Taste of Honey,1961,Italy,1962-09-07
A Taste of Honey,1961,Czechoslovakia,1962-11-16
A Taste of Honey,1961,Sweden,1962-12-26
A Taste of Honey,1961,Hungary,1963-01-03
A Taste of Honey,1961,France,1963-03-23
A Taste of Honey,1961,Ireland,1963-04-19
A Taste of Honey,1961,East Germany,1963-05-17
A Taste of Honey,1961,Japan,1963-07-13
A Taste of Hot Lead,1969,Japan,1972-05-10
A Taste of Life,1919,USA,1919-03-02
A Taste of Money,1961,UK,1961-01-08
A Teacher,2013,USA,2013-09-06
A Teia de Gelo,2012,Portugal,2012-05-03
A Telephone Call to Kuwait,1999,Kuwait,1999-01-01
A Temperamental Wife,1919,USA,1919-09-14
A Tenderfoot Goes West,1936,USA,1936-10-15
A Terrible Beauty,1960,West Germany,1960-06-17
A Terrible Beauty,1960,Finland,1960-09-09
A Terrible Beauty,1960,Sweden,1960-10-03
A Terrible Beauty,1960,Mexico,1961-02-16
A Terrible Beauty,1960,Denmark,1961-05-08
A Texan's Honor,1929,USA,1929-12-20
A Texas Funeral,1999,Italy,2000-05-05
A Texas Funeral,1999,Germany,2001-04-19
A Texas Steer,1915,USA,1915-07-26
A Texas Steer,1927,USA,1927-12-04
A Thief in Paradise,1925,USA,1925-06-18
A Thief in Paradise,1925,Turkey,1925-10-24
A Thief in Paradise,1925,Finland,1925-12-28
A Thief in Paradise,1925,Portugal,1928-12-05
A Thin Line Between Love and Hate,1996,USA,1996-04-03
A Thin Line Between Love and Hate,1996,Germany,1996-05-09
A Thin Line Between Love and Hate,1996,UK,1996-06-28
A Thin Line Between Love and Hate,1996,Australia,1996-07-25
A Thin Line Between Love and Hate,1996,South Africa,1996-10-18
A Thin Line Between Love and Hate,1996,Hungary,1997-03-27
A Thin Line Between Love and Hate,1996,Japan,1997-05-10
A Thought Unchained,2014,USA,2014-03-02
A Thousand Acres,1997,USA,1997-09-19
A Thousand Acres,1997,Australia,1998-05-07
A Thousand Acres,1997,France,1998-05-13
A Thousand Acres,1997,Belgium,1998-05-20
A Thousand Acres,1997,Turkey,1998-06-05
A Thousand Acres,1997,Brazil,1998-06-07
A Thousand Acres,1997,Netherlands,1998-06-18
A Thousand Acres,1997,UK,1998-06-19
A Thousand Acres,1997,Germany,1998-06-25
A Thousand Acres,1997,Austria,1998-06-26
A Thousand Acres,1997,Greece,1998-06-26
A Thousand Acres,1997,Denmark,1998-07-03
A Thousand Acres,1997,Ireland,1998-07-10
A Thousand Acres,1997,Finland,1998-09-11
A Thousand Acres,1997,Sweden,1998-09-11
A Thousand Acres,1997,Japan,1998-09-15
A Thousand Acres,1997,Norway,1998-10-02
A Thousand Acres,1997,Portugal,1998-10-23
A Thousand Acres,1997,Hungary,1998-12-03
A Thousand Acres,1997,Argentina,1999-01-14
A Thousand Acres,1997,Uruguay,1999-02-19
A Thousand Acres,1997,Poland,1999-02-26
A Thousand Acres,1997,Slovakia,1999-04-22
A Thousand Acres,1997,Italy,1999-05-07
A Thousand Clowns,1965,Finland,1966-09-09
A Thousand Clowns,1965,West Germany,1966-09-15
A Thousand Clowns,1965,Argentina,1966-11-02
A Thousand Clowns,1965,Mexico,1966-12-29
A Thousand Clowns,1965,Denmark,1967-03-07
A Thousand Kisses Deep,2011,Ireland,2012-06-15
A Thousand Kisses Deep,2011,UK,2012-06-15
A Thousand Moments Later,2016,Australia,2016-11-01
A Thousand Words,2012,Canada,2012-03-09
A Thousand Words,2012,USA,2012-03-09
A Thousand Words,2012,Brazil,2012-03-16
A Thousand Words,2012,Kuwait,2012-03-22
A Thousand Words,2012,Lebanon,2012-03-22
A Thousand Words,2012,United Arab Emirates,2012-03-22
A Thousand Words,2012,Egypt,2012-04-25
A Thousand Words,2012,France,2012-05-16
A Thousand Words,2012,Cambodia,2012-06-21
A Thousand Words,2012,Germany,2012-06-21
A Thousand Words,2012,Peru,2012-06-21
A Thousand Words,2012,Bolivia,2012-08-23
A Thousand Words,2012,South Africa,2012-09-27
A Thousand Words,2012,Nigeria,2012-12-14
A Thousand Years of Good Prayers,2007,Germany,2008-04-10
A Thousand Years of Good Prayers,2007,Spain,2008-04-18
A Thousand Years of Good Prayers,2007,France,2008-07-30
A Thousand Years of Good Prayers,2007,Singapore,2008-10-16
A Thousand Years of Good Prayers,2007,Brazil,2008-11-21
A Thousand Years of Good Prayers,2007,Argentina,2009-05-21
A Thousand Years of Good Prayers,2007,Japan,2009-11-14
A Thousand and One Nights,1945,USA,1945-07-20
A Thousand and One Nights,1945,Argentina,1945-12-20
A Thousand and One Nights,1945,Ireland,1946-01-18
A Thousand and One Nights,1945,Sweden,1946-03-11
A Thousand and One Nights,1945,Portugal,1947-10-11
A Thousand and One Nights,1945,Finland,1947-11-07
A Thousand and One Nights,1945,Denmark,1948-03-15
A Thousand and One Nights,1945,France,1949-05-27
A Thousand and One Nights,1945,Austria,1949-09-23
A Thousand and One Nights,1945,West Germany,1950-07-07
A Thousand and One Nights,1945,Japan,1952-02-01
A Thunder of Drums,1961,Japan,1961-11-14
A Thunder of Drums,1961,Mexico,1962-02-08
